field;nobib;part;article;book;techreport;thesis;misc
entry_type;;head;;;;;
citation_key;;head;;;;;
citation_in;x;head;;;;;
author;;head;;;;;
year;;head;;;;;
title;;head;;;;;
abstract;;head;;;;;
url;;tail;;;;;
credit;x;tail;;;;;
file_pdf;x;tail;;;;;
tags;x;tail;;;;;
timestamp;x;tail;;;;;
doi;;body;x;;;;
journal;;body;x;;;;
volume;;body;x;;;;
number;;body;x;;;;
pages;;body;x;;;;
issn;;body;x;;;;
isbn;;body;;x;;;
publisher;;body;;x;;;
institution;;body;;;x;;
address;;body;;;x;;
school;;body;;;;x;
type;;body;;;;x;
